threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,2,300,0,298,0.00666666666667,0.0
0.03,7,300,0,293,0.0233333333333,0.0
0.04,9,300,0,291,0.03,0.0
0.05,11,300,0,289,0.0366666666667,0.0
0.06,14,300,0,286,0.0466666666667,0.0
0.07,17,300,0,283,0.0566666666667,0.0
0.08,21,300,0,279,0.07,0.0
0.09,30,300,0,270,0.1,0.0
0.1,35,300,0,265,0.116666666667,0.0
0.11,47,300,0,253,0.156666666667,0.0
0.12,54,300,0,246,0.18,0.0
0.13,60,300,0,240,0.2,0.0
0.14,70,300,0,230,0.233333333333,0.0
0.15,77,300,0,223,0.256666666667,0.0
0.16,82,300,0,218,0.273333333333,0.0
0.17,84,300,0,216,0.28,0.0
0.18,94,300,0,206,0.313333333333,0.0
0.19,103,300,0,197,0.343333333333,0.0
0.2,108,300,0,192,0.36,0.0
0.21,115,300,0,185,0.383333333333,0.0
0.22,121,299,1,179,0.403333333333,0.00333333333333
0.23,129,298,2,171,0.43,0.00666666666667
0.24,133,298,2,167,0.443333333333,0.00666666666667
0.25,140,298,2,160,0.466666666667,0.00666666666667
0.26,143,298,2,157,0.476666666667,0.00666666666667
0.27,146,297,3,154,0.486666666667,0.01
0.28,151,296,4,149,0.503333333333,0.0133333333333
0.29,156,296,4,144,0.52,0.0133333333333
0.3,166,296,4,134,0.553333333333,0.0133333333333
0.31,172,294,6,128,0.573333333333,0.02
0.32,179,294,6,121,0.596666666667,0.02
0.33,185,294,6,115,0.616666666667,0.02
0.34,191,293,7,109,0.636666666667,0.0233333333333
0.35,197,293,7,103,0.656666666667,0.0233333333333
0.36,200,292,8,100,0.666666666667,0.0266666666667
0.37,205,290,10,95,0.683333333333,0.0333333333333
0.38,209,290,10,91,0.696666666667,0.0333333333333
0.39,211,290,10,89,0.703333333333,0.0333333333333
0.4,213,290,10,87,0.71,0.0333333333333
0.41,215,288,12,85,0.716666666667,0.04
