threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,0,300,0,300,0.0,0.0
0.03,0,300,0,300,0.0,0.0
0.04,1,300,0,299,0.00333333333333,0.0
0.05,4,300,0,296,0.0133333333333,0.0
0.06,7,300,0,293,0.0233333333333,0.0
0.07,9,300,0,291,0.03,0.0
0.08,13,300,0,287,0.0433333333333,0.0
0.09,21,300,0,279,0.07,0.0
0.1,27,300,0,273,0.09,0.0
0.11,35,300,0,265,0.116666666667,0.0
0.12,38,300,0,262,0.126666666667,0.0
0.13,43,300,0,257,0.143333333333,0.0
0.14,52,300,0,248,0.173333333333,0.0
0.15,59,300,0,241,0.196666666667,0.0
0.16,67,300,0,233,0.223333333333,0.0
0.17,78,300,0,222,0.26,0.0
0.18,85,299,1,215,0.283333333333,0.00333333333333
0.19,94,299,1,206,0.313333333333,0.00333333333333
0.2,102,299,1,198,0.34,0.00333333333333
0.21,104,298,2,196,0.346666666667,0.00666666666667
0.22,109,298,2,191,0.363333333333,0.00666666666667
0.23,117,298,2,183,0.39,0.00666666666667
0.24,125,298,2,175,0.416666666667,0.00666666666667
0.25,132,298,2,168,0.44,0.00666666666667
0.26,142,298,2,158,0.473333333333,0.00666666666667
0.27,153,298,2,147,0.51,0.00666666666667
0.28,162,297,3,138,0.54,0.01
0.29,164,296,4,136,0.546666666667,0.0133333333333
0.3,172,294,6,128,0.573333333333,0.02
0.31,180,293,7,120,0.6,0.0233333333333
0.32,184,292,8,116,0.613333333333,0.0266666666667
0.33,192,292,8,108,0.64,0.0266666666667
0.34,197,291,9,103,0.656666666667,0.03
0.35,200,291,9,100,0.666666666667,0.03
0.36,202,291,9,98,0.673333333333,0.03
0.37,204,290,10,96,0.68,0.0333333333333
0.38,209,289,11,91,0.696666666667,0.0366666666667
0.39,213,287,13,87,0.71,0.0433333333333
0.4,222,287,13,78,0.74,0.0433333333333
0.41,225,284,16,75,0.75,0.0533333333333
