10	300
aimiyazato	aimiyazato_2006_01_17_19_00-shot17_217-Track1-Frame50941-Face2	aimiyazato_2009_08_07_19_00-shot07_213-Track1-Frame47273-Face1
jiabaowen	jiabaowen_2009_12_16_19_00-shot16_135-Track1-Frame34711-Face1	jiabaowen_2010_05_30_19_00-shot30_106-Track1-Frame26989-Face1
ichirosuzuki	ichirosuzuki_2004_10_11_19_00-shot11_153-Track3-Frame42940-Face1	ichirosuzuki_2008_09_18_19_00-shot18_126-Track1-Frame31161-Face2
takafumihorie	takafumihorie_2005_04_18_19_00-shot18_154-Track1-Frame34094-Face1	takafumihorie_2005_08_19_19_00-shot19_26-Track1-Frame4148-Face1
azumakoshiishi	azumakoshiishi_2007_10_18_19_00-shot18_20-Track2-Frame6999-Face1	azumakoshiishi_2010_11_17_19_00-shot17_29-Track1-Frame14217-Face1
yoshimiwatanabe	yoshimiwatanabe_2007_08_31_19_00-shot31_161-Track1-Frame36656-Face1	yoshimiwatanabe_2009_01_16_19_00-shot16_76-Track1-Frame22764-Face1
georgebush	georgebush_2006_02_14_19_00-shot14_161-Track1-Frame40856-Face1	georgebush_2007_01_24_19_00-shot24_79-Track1-Frame24689-Face1
mizuhofukushima	mizuhofukushima_2005_09_10_19_00-shot10_23-Track4-Frame9509-Face1	mizuhofukushima_2007_07_11_19_00-shot11_39-Track1-Frame6894-Face1
ryutarohashimoto	ryutarohashimoto_2004_11_24_19_00-shot24_87-Track1-Frame23497-Face1	ryutarohashimoto_2006_07_01_19_00-shot01_58-Track1-Frame8740-Face1
syunsaito	syunsaito_2008_02_04_19_00-shot04_119-Track1-Frame35573-Face1	syunsaito_2008_10_07_19_00-shot07_99-Track1-Frame31146-Face1
aifukuhara	aifukuhara_2004_08_03_19_00-shot03_163-Track1-Frame41966-Face1	aifukuhara_2004_08_19_19_00-shot19_197-Track1-Frame36582-Face1
hillaryclinton	hillaryclinton_2008_01_31_19_00-shot31_129-Track2-Frame39361-Face1	hillaryclinton_2008_02_02_19_00-shot02_65-Track1-Frame25384-Face1
shintaroishihara	shintaroishihara_2008_04_18_19_00-shot18_42-Track1-Frame11171-Face1	shintaroishihara_2010_04_10_19_00-shot10_73-Track1-Frame12658-Face1
akinoriasashoryu	akinoriasashoryu_2006_07_21_19_00-shot21_192-Track1-Frame46161-Face1	akinoriasashoryu_2010_01_23_19_00-shot23_191-Track1-Frame45788-Face2
yoshitosengoku	yoshitosengoku_2010_08_15_19_00-shot15_66-Track1-Frame19706-Face1	yoshitosengoku_2010_09_24_19_00-shot24_28-Track1-Frame13923-Face1
saddamhussein	saddamhussein_2004_07_02_19_00-shot02_37-Track1-Frame12268-Face1	saddamhussein_2006_12_29_19_00-shot29_97-Track1-Frame24636-Face1
masakunimurakami	masakunimurakami_2001_03_26_19_00-shot26_64-Track1-Frame12566-Face1	masakunimurakami_2001_06_29_19_00-shot29_74-Track1-Frame30986-Face1
moo-hyunroh	moo-hyunroh_2002_12_27_19_00-shot27_48-Track1-Frame15530-Face1	moo-hyunroh_2004_03_18_19_00-shot18_128-Track1-Frame28507-Face1
katsuyoshieto	katsuyoshieto_2008_07_18_19_00-shot18_77-Track1-Frame21572-Face1	katsuyoshieto_2008_07_25_19_00-shot25_88-Track1-Frame23576-Face1
