10	300
barutokaito	barutokaito_2010_03_23_19_00-shot23_178-Track1-Frame47626-Face1	barutokaito_2010_03_31_19_00-shot31_165-Track1-Frame44840-Face1
ebizoichikawa	ebizoichikawa_2010_12_07_19_00-shot07_68-Track1-Frame43574-Face1	ebizoichikawa_2010_12_08_19_00-shot08_69-Track1-Frame30236-Face1
kazuoshii	kazuoshii_2001_08_13_19_00-shot13_93-Track1-Frame14028-Face1	kazuoshii_2009_03_03_19_00-shot03_101-Track1-Frame29766-Face1
bunmeiibuki	bunmeiibuki_2008_03_27_19_00-shot27_30-Track1-Frame12182-Face1	bunmeiibuki_2008_08_01_19_00-shot01_62-Track1-Frame51612-Face1
barakobama	barakobama_2008_11_05_19_00-shot05_86-Track2-Frame14655-Face1	barakobama_2010_06_26_19_00-shot26_58-Track1-Frame14840-Face1
syunsaito	syunsaito_2008_02_07_19_00-shot07_59-Track1-Frame17687-Face1	syunsaito_2008_02_08_19_00-shot08_18-Track1-Frame4775-Face1
saddamhussein	saddamhussein_2003_08_02_19_00-shot02_24-Track1-Frame6856-Face1	saddamhussein_2003_12_15_19_00-shot15_73-Track1-Frame18853-Face1
vladimirputin	vladimirputin_2001_03_23_19_00-shot23_3-Track1-Frame858-Face1	vladimirputin_2001_03_23_19_00-shot23_49-Track1-Frame17716-Face1
katsuyaokada	katsuyaokada_2005_01_04_19_00-shot04_148-Track1-Frame34451-Face1	katsuyaokada_2009_05_13_19_00-shot13_33-Track1-Frame5524-Face1
kaoriiida	kaoriiida_2008_01_18_19_00-shot18_37-Track1-Frame8799-Face1	kaoriiida_2008_01_18_19_00-shot18_43-Track1-Frame10496-Face1
yukioedano	yukioedano_2010_11_17_19_00-shot17_39-Track1-Frame19634-Face1	yukioedano_2011_03_01_19_00-shot01_75-Track1-Frame30899-Face1
yoichimasuzoe	yoichimasuzoe_2009_06_14_19_00-shot14_56-Track1-Frame17248-Face2	yoichimasuzoe_2010_04_22_19_00-shot22_77-Track1-Frame19174-Face2
martinahingis	martinahingis_2006_02_01_19_00-shot01_192-Track1-Frame48654-Face1	martinahingis_2006_02_04_19_00-shot04_176-Track1-Frame33915-Face1
ichiroozawa	ichiroozawa_2007_04_28_19_00-shot28_76-Track1-Frame20569-Face1	ichiroozawa_2010_05_30_19_00-shot30_81-Track1-Frame21091-Face1
johnkerry	johnkerry_2004_03_03_19_00-shot03_66-Track2-Frame22476-Face1	johnkerry_2007_11_21_19_00-shot21_67-Track1-Frame23212-Face1
shintaroishihara	shintaroishihara_2003_01_30_19_00-shot30_24-Track1-Frame9204-Face1	shintaroishihara_2008_02_20_19_00-shot20_89-Track1-Frame27625-Face1
takeshikoizumi	takeshikoizumi_2008_11_23_19_00-shot23_84-Track3-Frame15916-Face1	takeshikoizumi_2008_11_25_19_00-shot25_46-Track3-Frame10934-Face1
