10	300
maoasada	maoasada_2008_03_25_19_00-shot25_222-Track1-Frame48812-Face1	maoasada_2010_04_11_19_00-shot11_198-Track1-Frame43022-Face1
jong-ilkim	jong-ilkim_2004_05_21_19_00-shot21_115-Track1-Frame29182-Face1	jong-ilkim_2006_10_15_19_00-shot15_79-Track1-Frame20736-Face1
hidekimatsui	hidekimatsui_2003_01_29_19_00-shot29_166-Track2-Frame48199-Face2	hidekimatsui_2006_08_12_19_00-shot12_215-Track1-Frame47882-Face1
junichirokoizumi	junichirokoizumi_2003_09_20_19_00-shot20_165-Track1-Frame28494-Face1	junichirokoizumi_2005_08_07_19_00-shot07_13-Track1-Frame3837-Face1
masakunimurakami	masakunimurakami_2001_03_21_19_00-shot21_68-Track1-Frame17888-Face1	masakunimurakami_2001_06_29_19_00-shot29_74-Track1-Frame31120-Face1
natsuoyamaguchi	natsuoyamaguchi_2009_10_17_19_00-shot17_49-Track1-Frame12388-Face1	natsuoyamaguchi_2010_02_10_19_00-shot10_36-Track1-Frame8686-Face1
jiwoochoi	jiwoochoi_2004_07_22_19_00-shot22_96-Track2-Frame22580-Face1	jiwoochoi_2004_07_22_19_00-shot22_99-Track1-Frame23018-Face1
condoleezzarice	condoleezzarice_2006_10_12_19_00-shot12_31-Track1-Frame8385-Face1	condoleezzarice_2006_10_17_19_00-shot17_44-Track1-Frame11168-Face1
shizukaarakawa	shizukaarakawa_2006_02_25_19_00-shot25_71-Track1-Frame16840-Face1	shizukaarakawa_2006_02_25_19_00-shot25_73-Track1-Frame17764-Face1
monalisa	monalisa_2006_04_27_19_00-shot27_77-Track1-Frame21828-Face1	monalisa_2008_01_15_19_00-shot15_79-Track1-Frame27667-Face1
muneosuzuki	muneosuzuki_2002_01_25_19_00-shot25_39-Track1-Frame13352-Face1	muneosuzuki_2002_06_19_19_00-shot19_136-Track1-Frame32867-Face2
naruhito	naruhito_2004_05_12_19_00-shot12_107-Track1-Frame27374-Face1	naruhito_2004_06_04_19_00-shot04_109-Track1-Frame30517-Face1
daisuketakahashi	daisuketakahashi_2010_03_26_19_00-shot26_146-Track1-Frame41782-Face1	daisuketakahashi_2010_04_03_19_00-shot03_167-Track1-Frame37224-Face1
jianchaoliu	jianchaoliu_2005_03_24_19_00-shot24_156-Track1-Frame36745-Face1	jianchaoliu_2006_10_10_19_00-shot10_12-Track1-Frame2671-Face1
shinrikyoaum	shinrikyoaum_2004_07_07_19_00-shot07_67-Track1-Frame17687-Face1	shinrikyoaum_2006_02_20_19_00-shot20_9-Track2-Frame2818-Face1
ichirosuzuki	ichirosuzuki_2004_10_11_19_00-shot11_6-Track1-Frame1863-Face1	ichirosuzuki_2006_03_21_19_00-shot21_93-Track1-Frame13325-Face1
dae-jungkim	dae-jungkim_2001_10_16_19_00-shot16_199-Track1-Frame58204-Face1	dae-jungkim_2002_01_02_19_00-shot02_113-Track1-Frame33867-Face1
barakobama	barakobama_2009_11_07_19_00-shot07_86-Track1-Frame20715-Face2	barakobama_2010_11_13_19_00-shot13_69-Track1-Frame25253-Face1
hidekimatsui	hidekimatsui_2005_04_12_19_00-shot12_173-Track1-Frame48195-Face1	hidekimatsui_2005_04_21_19_00-shot21_183-Track1-Frame47221-Face1
jong-ilkim	jong-ilkim_2005_02_22_19_00-shot22_78-Track1-Frame28175-Face1	jong-ilkim_2005_05_12_19_00-shot12_6-Track1-Frame648-Face1
colinpowell	colinpowell_2003_03_18_19_00-shot18_20-Track1-Frame6465-Face1	colinpowell_2004_02_07_19_00-shot07_61-Track1-Frame12394-Face1
takakodoi	takakodoi_2001_08_14_19_00-shot14_43-Track1-Frame11090-Face1	takakodoi_2002_03_17_19_00-shot17_10-Track1-Frame5017-Face2
naotokan	naotokan_2009_03_26_19_00-shot26_100-Track1-Frame28601-Face1	naotokan_2011_01_01_19_00-shot01_48-Track1-Frame21903-Face1
renhomurata	renhomurata_2010_04_23_19_00-shot23_21-Track1-Frame6163-Face1	renhomurata_2010_04_26_19_00-shot26_96-Track5-Frame29179-Face1
masakunimurakami	masakunimurakami_2001_03_21_19_00-shot21_68-Track1-Frame17888-Face1	masakunimurakami_2001_03_26_19_00-shot26_64-Track1-Frame12524-Face2
takakodoi	takakodoi_2002_02_04_19_00-shot04_58-Track1-Frame14058-Face1	takakodoi_2002_03_17_19_00-shot17_10-Track1-Frame5017-Face2
takenorikanzaki	takenorikanzaki_2001_07_11_19_00-shot11_46-Track1-Frame9028-Face1	takenorikanzaki_2006_09_20_19_00-shot20_99-Track1-Frame17012-Face2
kikokawashima	kikokawashima_2006_09_06_19_00-shot06_195-Track2-Frame33559-Face1	kikokawashima_2006_09_06_19_00-shot06_47-Track2-Frame8715-Face1
shinrikyoaum	shinrikyoaum_2003_10_30_19_00-shot30_22-Track1-Frame5456-Face1	shinrikyoaum_2004_07_07_19_00-shot07_68-Track1-Frame17765-Face1
myung-baklee	myung-baklee_2007_08_20_19_00-shot20_140-Track2-Frame37247-Face1	myung-baklee_2007_08_20_19_00-shot20_146-Track1-Frame38320-Face1
donaldrumsfeld	donaldrumsfeld_2001_10_30_19_00-shot30_58-Track1-Frame20056-Face1	donaldrumsfeld_2003_03_12_19_00-shot12_50-Track1-Frame15208-Face1
jintaohu	jintaohu_2006_10_03_19_00-shot03_158-Track2-Frame44588-Face2	jintaohu_2008_05_10_19_00-shot10_60-Track1-Frame10749-Face1
johnkerry	johnkerry_2007_11_21_19_00-shot21_67-Track1-Frame23234-Face1	johnkerry_2007_12_30_19_00-shot30_125-Track1-Frame27890-Face1
shin	shin_2009_07_15_19_00-shot15_50-Track1-Frame11611-Face1	shin_2009_12_23_19_00-shot23_65-Track1-Frame16297-Face1
muneosuzuki	muneosuzuki_2001_05_22_19_00-shot22_45-Track1-Frame12696-Face1	muneosuzuki_2002_08_01_19_00-shot01_66-Track1-Frame20721-Face1
maoasada	maoasada_2006_03_02_19_00-shot02_176-Track1-Frame41054-Face1	maoasada_2010_02_20_19_00-shot20_161-Track1-Frame28902-Face1
yasuofukuda	yasuofukuda_2002_04_01_19_00-shot01_21-Track1-Frame7342-Face1	yasuofukuda_2008_03_31_19_00-shot31_10-Track1-Frame2598-Face2
hideohigashikokubaru	hideohigashikokubaru_2010_07_16_19_00-shot16_87-Track1-Frame29291-Face1	hideohigashikokubaru_2011_01_20_19_00-shot20_101-Track1-Frame37583-Face1
naotokan	naotokan_2002_12_06_19_00-shot06_11-Track1-Frame1521-Face1	naotokan_2003_02_04_19_00-shot04_123-Track1-Frame33839-Face1
shintaroishihara	shintaroishihara_2003_06_27_19_00-shot27_154-Track1-Frame40105-Face1	shintaroishihara_2009_09_04_19_00-shot04_179-Track1-Frame42965-Face1
vladimirputin	vladimirputin_2001_03_23_19_00-shot23_49-Track1-Frame17601-Face1	vladimirputin_2001_03_23_19_00-shot23_53-Track1-Frame19220-Face1
shin	shin_2001_08_16_19_00-shot16_217-Track1-Frame46565-Face1	shin_2010_05_10_19_00-shot10_89-Track1-Frame24032-Face1
yoshitosengoku	yoshitosengoku_2010_10_06_19_00-shot06_41-Track1-Frame17393-Face1	yoshitosengoku_2010_11_15_19_00-shot15_84-Track1-Frame45603-Face1
bunmeiibuki	bunmeiibuki_2007_09_18_19_00-shot18_50-Track1-Frame9081-Face1	bunmeiibuki_2009_07_02_19_00-shot02_49-Track2-Frame12600-Face1
